date,V,MA
2016-01-04,75.69999694824219,89.65945434570312
2016-01-05,76.2699966430664,89.82966613769531
2016-01-06,75.2699966430664,88.45570373535156
2016-01-07,73.79000091552734,86.83536529541016
2016-01-08,72.87999725341797,85.17713165283203
2016-01-11,73.91999816894531,85.8309555053711
2016-01-12,74.76000213623047,86.64586639404297
2016-01-13,73.0999984741211,84.51382446289062
2016-01-14,73.80000305175781,85.95411682128906
2016-01-15,71.83000183105469,84.05899810791016
2016-01-19,71.38999938964844,81.69952392578125
2016-01-20,70.68000030517578,80.66668701171875
2016-01-21,71.55999755859375,81.60478210449219
2016-01-22,72.69999694824219,83.38622283935547
2016-01-25,71.73999786376953,82.22068786621094
2016-01-26,71.87999725341797,82.4386215209961
2016-01-27,70.91000366210938,80.36345672607422
2016-01-28,69.33000183105469,79.05580139160156
2016-01-29,74.48999786376953,84.3621826171875
2016-02-01,74.37999725341797,83.98316955566406
2016-02-02,73.4000015258789,81.42474365234375
2016-02-03,74.37999725341797,81.93643188476562
2016-02-04,73.68000030517578,81.80375671386719
2016-02-05,71.54000091552734,78.4209213256836
2016-02-08,67.7699966430664,76.42156982421875
2016-02-09,68.33000183105469,77.67237854003906
2016-02-10,70.1500015258789,78.9421157836914
2016-02-11,68.47000122070312,77.80502319335938
2016-02-12,70.41999816894531,80.43924713134766
2016-02-16,71.0999984741211,81.66161346435547
2016-02-17,72.02999877929688,82.63761901855469
2016-02-18,71.23999786376953,81.52897644042969
2016-02-19,71.52999877929688,82.23966979980469
2016-02-22,73.05999755859375,83.21566009521484
2016-02-23,72.1500015258789,81.69005584716797
2016-02-24,71.8499984741211,81.88905334472656
2016-02-25,73.2699966430664,82.8366470336914
2016-02-26,72.7300033569336,82.97875213623047
2016-02-29,72.38999938964844,82.36283874511719
2016-03-01,74.63999938964844,85.37611389160156
2016-03-02,74.30000305175781,85.17713165283203
2016-03-03,73.91000366210938,85.03498077392578
2016-03-04,73.9000015258789,85.32875061035156
2016-03-07,71.94000244140625,83.67047882080078
2016-03-08,70.62000274658203,82.29649353027344
2016-03-09,70.68000030517578,82.60920715332031
2016-03-10,70.22000122070312,82.33440399169922
2016-03-11,71.62999725341797,83.93580627441406
2016-03-14,71.48999786376953,84.21057891845703
2016-03-15,71.91000366210938,84.67488861083984
2016-03-16,72.37000274658203,85.29083251953125
2016-03-17,73.13999938964844,86.61743927001953
2016-03-18,73.77999877929688,87.47026824951172
2016-03-21,73.7699966430664,87.50814056396484
2016-03-22,72.95999908447266,86.94908905029297
2016-03-23,73.91000366210938,87.2996597290039
2016-03-24,74.13999938964844,87.0911865234375
2016-03-28,74.08000183105469,86.45634460449219
2016-03-29,75.37999725341797,87.91560363769531
2016-03-30,76.77999877929688,88.8915786743164
2016-03-31,76.4800033569336,89.54542541503906
2016-04-01,77.58999633789062,90.8436050415039
2016-04-04,77.83000183105469,90.06658172607422
2016-04-05,76.97000122070312,89.40327453613281
2016-04-06,78.20999908447266,89.96349334716797
2016-04-07,77.58000183105469,88.7861328125
2016-04-08,78.02999877929688,89.0519790649414
2016-04-11,77.81999969482422,88.7481460571289
2016-04-12,78.5199966430664,89.11842346191406
2016-04-13,79.70999908447266,90.91294860839844
2016-04-14,80.33000183105469,91.3117446899414
2016-04-15,80.08000183105469,91.79598236083984
2016-04-18,81.44999694824219,92.7359619140625
2016-04-19,80.75,92.32766723632812
2016-04-20,81.1500015258789,92.9543685913086
2016-04-21,80.79000091552734,92.61256408691406
2016-04-22,79.11000061035156,92.52706909179688
2016-04-25,78.13999938964844,92.08084106445312
2016-04-26,78.52999877929688,92.3561553955078
2016-04-27,78.76000213623047,93.41009521484376
2016-04-28,77.68000030517578,92.27071380615234
2016-04-29,77.23999786376953,92.09033966064452
2016-05-02,78.45999908447266,92.83092498779295
2016-05-03,77.19000244140625,91.5775909423828
2016-05-04,77.06999969482422,91.38771057128906
2016-05-05,77.36000061035156,91.33070373535156
2016-05-06,77.72000122070312,91.79598236083984
2016-05-09,78.22000122070312,91.83396911621094
2016-05-10,79.19999694824219,92.70746612548828
2016-05-11,77.30000305175781,91.53960418701172
2016-05-12,77.88999938964844,91.00787353515624
2016-05-13,76.83000183105469,90.54264068603516
2016-05-16,77.80000305175781,91.29273223876952
2016-05-17,76.79000091552734,90.77053833007812
2016-05-18,77.43000030517578,90.79901885986328
2016-05-19,76.87999725341797,89.916015625
2016-05-20,77.66999816894531,90.64712524414062
2016-05-23,77.20999908447266,90.2768096923828
2016-05-24,79.37999725341797,91.6061019897461
2016-05-25,79.05999755859375,91.5775909423828
2016-05-26,79.0,91.51114654541016
2016-05-27,79.66000366210938,92.27071380615234
2016-05-31,78.94000244140625,91.05538177490234
2016-06-01,79.22000122070312,91.53960418701172
2016-06-02,79.94999694824219,91.9858627319336
2016-06-03,79.94000244140625,91.17879486083984
2016-06-06,80.54000091552734,91.75800323486328
2016-06-07,80.5999984741211,91.79598236083984
2016-06-08,81.6500015258789,93.039794921875
2016-06-09,81.26000213623047,92.1187973022461
2016-06-10,80.18000030517578,90.40022277832033
2016-06-13,78.4000015258789,89.4317855834961
2016-06-14,78.56999969482422,89.3558120727539
2016-06-15,78.16999816894531,88.62468719482422
2016-06-16,78.3499984741211,89.32733154296875
2016-06-17,76.98999786376953,88.57723236083984
2016-06-20,77.33999633789062,89.58368682861328
2016-06-21,77.33000183105469,90.3052978515625
2016-06-22,76.52999877929688,89.30831146240234
2016-06-23,78.2300033569336,90.87494659423828
2016-06-24,75.05000305175781,86.84918212890625
